Numeracao_geral	Numeracao_p_analise	Localizacao	ponto	numeracao_animal	tcmax_final	LogCTM	Taxon	Classe	Ordem	Famila	Sub-Familia	Genero	Especie	Sexo	Nofly/Fly	Habitat	Latitude	Longitude	Altitude	Localidade	Temperatura	TempAR	TempSOLO	Peso (g)
1	1	1.0	1	1	34.33	1.54	Artrhopoda	Chilopoda	Geophilomorpha	0	0	0	0	0	No	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0002
2	1	1.0	1	2	35.00	1.54	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	0	0	0	No	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0001
3	1	1.0	1	3	35.67	1.55	Artrhopoda	Insecta	Blattodea	0	0	0	0	0	Yes	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0001
4	1	1.0	1	4	36.00	1.56	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	0	0	0	No	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0001
5	1	1.0	1	5	35.33	1.55	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	0	0	0	No	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0001
6	1	1.0	1	6	35.33	1.55	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	0	0	0	No	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0001
7	1	1.0	1	7	35.33	1.55	Artrhopoda	Insecta	Blattodea	0	0	0	0	0	Yes	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0001
8	1	1.0	1	8	35.33	1.55	Artrhopoda	Arachnida	Opiliones	Gonyleptidae	0	0	0	0	No	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0001
10	1	1.0	1	10	42.00	1.62	Artrhopoda	Arachnida	Araneae	Ctenidae	0	0	0	0	No	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0002
11	1	1.0	1	11	34.33	1.54	Artrhopoda	Arachnida	Araneae	Zoridae	0	0	0	0	No	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0001
12	1	1.0	1	12	34.33	1.54	Artrhopoda	Insecta	Coleoptera	0	0	0	0	0	Yes	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0001
13	1	1.0	1	13	35.67	1.55	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	0	0	0	No	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0001
15	1	1.0	1	15	35.00	1.54	Artrhopoda	Insecta	Orthoptera 	0	0	0	0	0	No	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0001
16	1	1.0	1	16	34.67	1.54	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	0	0	0	No	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0001
17	1	1.0	1	17	35.00	1.54	Artrhopoda	Insecta	Hymenoptera	Formicidae	0	0	0	0	No	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0001
18	1	1.0	1	18	36.33	1.56	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	0	0	0	No	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0001
19	1	1.0	1	19	36.33	1.56	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	0	0	0	No	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0001
20	1	1.0	1	20	37.00	1.57	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	0	0	0	No	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0001
21	1	1.0	1	21	26.33	1.42	Artrhopoda	Malacostraca	Isopoda	0	0	0	0	0	No	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0001
24	1	1.0	1	24	31.67	1.50	Artrhopoda	Insecta	Coleoptera	0	0	0	0	0	Yes	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0001
25	1	1.0	1	25	37.00	1.57	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	0	0	0	No	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0001
26	1	1.0	1	26	38.00	1.58	Artrhopoda	Insecta	Hymenoptera	Formicidae	Ponerinae	0	0	0	No	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0001
27	1	1.0	1	27	38.00	1.58	Artrhopoda	Insecta	Blattodea	0	0	0	0	0	Yes	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0001
28	1	1.0	1	28	39.00	1.59	Artrhopoda	Insecta	Blattodea	0	0	0	0	0	Yes	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0001
29	1	1.0	1	29	37.00	1.57	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	0	0	0	No	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0001
30	1	1.0	1	30	40.33	1.61	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	0	0	0	No	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0001
31	1	1.0	1	31	43.67	1.64	Artrhopoda	Arachnida	Araneae	Ctenidae	0	0	0	0	No	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0001
32	1	1.0	1	32	44.67	1.65	Artrhopoda	Arachnida	Araneae	Ctenidae	0	0	0	0	No	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0001
33	1	1.0	1	33	45.33	1.66	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	0	0	0	No	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0001
35	1	1.0	1	35	33.67	1.53	Artrhopoda	Insecta	Coleoptera	0	0	0	0	0	Yes	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0001
