Date Time	Rain (mm) #2228701	Water Content (m^3/m^3) #2245617	Solar Radiation (W/m^2) #2246794	Temperature (*C) #2250766-1	Dew Point (*C) #2250766-1	RH (%) #2250766-2
11/30/12 08:28:03.0	0	0.02793	220.6	28.419	21.67	66.8
11/30/12 11:28:03.0	0	0.02836	486.9	32.587	20.5	49
11/30/12 14:28:03.0	0	0.02963	994.4	35.128	20.42	42.3
11/30/12 17:28:03.0	0	0.03005	36.9	32.846	18.63	43
11/30/12 20:28:03.0	0	0.02921	0.6	26.769	19.96	66.2
11/30/12 23:28:03.0	0	0.02878	0.6	25.21	19.76	71.7
12/01/12 02:28:03.0	0	0.02836	0.6	24.388	19.91	76
12/01/12 05:28:03.0	0	0.02793	0.6	24.05	19.94	77.7
12/01/12 08:28:03.0	0	0.02751	400.6	28.766	22.08	67.1
12/01/12 11:28:03.0	0	0.02836	209.4	33.626	20.14	45.2
12/01/12 14:28:03.0	0	0.02963	983.1	37.124	17.69	32
12/01/12 17:28:03.0	0	0.03048	54.4	32.536	19.51	46.2
12/01/12 20:28:03.0	0	0.03005	0.6	26.818	20.27	67.3
12/01/12 23:28:03.0	0	0.02921	0.6	25.72	19.88	70.1
12/02/12 02:28:03.0	0	0.02878	0.6	25.065	20.43	75.4
12/02/12 05:28:03.0	0	0.02836	0.6	24.219	20.14	77.9
12/02/12 08:28:03.0	0	0.02793	186.9	27.702	21.69	69.7
12/02/12 11:28:03.0	0	0.02836	375.6	33.495	21.53	49.6
12/02/12 14:28:03.0	0	0.02963	890.6	37.151	21.88	41.4
12/02/12 17:28:03.0	0	0.03005	78.1	32.794	20.79	49.3
12/02/12 20:28:03.0	0	0.02963	0.6	27.038	20.48	67.3
12/02/12 23:28:03.0	0	0.02921	0.6	25.939	20.5	71.9
12/03/12 02:28:03.0	0	0.02836	0.6	25.283	20.6	75.2
12/03/12 05:28:03.0	0	0.02793	0.6	24.532	20.07	76.1
12/03/12 08:28:03.0	0	0.02793	615.6	28.742	21.81	66.1
12/03/12 11:28:03.0	0	0.02836	404.4	34.413	20.23	43.5
12/03/12 14:28:03.0	0	0.02963	940.6	36.661	18.21	33.9
12/03/12 17:28:03.0	0	0.03048	63.1	33.495	17.41	38.4
