Date Time	Rain (mm) #2228702	Water Content (m^3/m^3) #2245617	Solar Radiation (W/m^2) #2246794	Temperature (*C) #2250766-1	Dew Point (*C) #2250766-1	RH (%) #2250766-2
02/09/09 09:45:07.0	0	-0.09423	0.6	30.849	20.18	53
02/09/09 09:55:07.0	0.2	-0.10102	170.6	32.381	20.74	50.3
02/09/09 10:05:07.0	0	-0.10017	183.1	36.552	21.14	40.9
02/09/09 10:15:07.0	0	-0.10102	218.1	38.143	21.82	39.1
02/09/09 10:25:07.0	0	-0.10145	1069.4	34.677	20.24	42.9
02/09/09 10:35:07.0	0	-0.10102	779.4	34.124	19.67	42.7
02/09/09 10:45:07.0	0	0.0203	986.9	33.887	19.61	43.1
02/09/09 10:55:07.0	0	0.02072	1121.9	34.942	20.06	41.8
02/09/09 11:05:07.0	0	0.03472	266.9	34.466	20.13	43.1
02/09/09 11:15:07.0	0	0.03769	324.4	35.102	20.32	42.1
02/09/09 11:25:07.0	0	0.03896	331.9	35.342	20.53	42.1
02/09/09 11:35:07.0	0	0.03981	456.9	35.662	19.87	39.7
02/09/09 11:45:07.0	0	0.03981	1215.6	35.904	19.63	38.6
02/09/09 11:55:07.0	0	0.04024	1091.9	36.281	19.84	38.3
02/09/09 12:05:07.0	0	0.04066	274.4	36.552	19.6	37.2
02/09/09 12:15:07.0	0	0.04024	1255.6	35.555	19.36	38.7
02/09/09 12:25:07.0	0	0.04066	718.1	35.985	19.61	38.4
02/09/09 12:35:07.0	0	0.04024	323.1	34.836	19.25	40
02/09/09 12:45:07.0	0	0.04024	594.4	35.102	18.92	38.6
02/09/09 12:55:07.0	0	0.04024	1276.9	35.582	18.88	37.5
02/09/09 13:05:07.0	0	0.03981	1229.4	36.146	19.2	37.1
02/09/09 13:15:07.0	0	0.03981	331.9	35.395	18.37	36.7
02/09/09 13:25:07.0	0	0.03981	428.1	36.769	19.13	35.7
02/09/09 13:35:07.0	0	0.03981	686.9	36.092	18.76	36.2
02/09/09 13:45:07.0	0	0.03981	416.9	36.146	18.72	36
02/09/09 13:55:07.0	0	0.03981	1038.1	37.535	18.64	33.2
02/09/09 14:05:07.0	0	0.03981	355.6	35.128	18.26	37
02/09/09 14:15:07.0	0	0.03981	349.4	36.2	18.27	34.9
02/09/09 14:25:07.0	0	0.03981	289.4	35.315	17.81	35.6
02/09/09 14:35:07.0	0	0.03939	295.6	34.889	17.79	36.4
02/09/09 14:45:07.0	0	0.03939	210.6	35.395	17.7	35.2
02/09/09 14:55:07.0	0	0.03939	213.1	34.651	18.89	39.5
02/09/09 15:05:07.0	0	0.03939	135.6	34.15	19.04	41
02/09/09 15:15:07.0	0	0.03896	174.4	34.255	19.09	40.9
02/09/09 15:25:07.0	0	0.03896	118.1	33.992	19.44	42.4
02/09/09 15:35:07.0	0	0.03896	128.1	33.783	19.7	43.6
02/09/09 15:45:07.0	0	0.03854	195.6	33.678	19.79	44.1
02/09/09 15:55:07.0	0	0.03896	555.6	34.519	20.29	43.4
02/09/09 16:05:07.0	0	0.03896	424.4	34.598	19.9	42.2
02/09/09 16:15:07.0	0	0.03896	189.4	33.574	19.98	44.9
02/09/09 16:25:07.0	0	0.03896	69.4	32.768	20.17	47.5
02/09/09 16:35:07.0	0	0.03854	43.1	32.047	20.08	49.2
02/09/09 16:45:07.0	0	0.03854	121.9	32.253	20.2	49
02/09/09 16:55:07.0	0	0.03811	53.1	31.868	20.11	49.8
02/09/09 17:05:07.0	0	0.03811	43.1	31.51	20.04	50.6
02/09/09 17:15:07.0	0	0.03811	49.4	31.153	19.97	51.4
02/09/09 17:25:07.0	0	0.03769	44.4	31.001	20.26	52.8
02/09/09 17:35:07.0	0	0.03769	23.1	30.545	20.29	54.3
02/09/09 17:45:07.0	0	0.03727	14.4	30.243	20.13	54.7
02/09/09 17:55:07.0	0	0.03727	0.6	29.916	19.86	54.8
02/09/09 18:05:07.0	0	0.03727	0.6	29.64	19.57	54.7
02/09/09 18:15:07.0	0	0.03684	0.6	29.389	19.16	54.1
02/09/09 18:25:07.0	0	0.03684	0.6	29.215	18.91	53.8
02/09/09 18:35:07.0	0	0.03642	0.6	29.115	18.73	53.5
02/09/09 18:45:07.0	0	0.03642	0.6	28.965	18.53	53.3
02/09/09 18:55:07.0	0	0.03599	0.6	28.816	18.36	53.2
02/09/09 19:05:07.0	0	0.03599	0.6	28.717	18.27	53.2
02/09/09 19:15:07.0	0	0.03599	0.6	28.518	18.41	54.3
02/09/09 19:25:07.0	0	0.03557	0.6	28.369	18.6	55.4
02/09/09 19:35:07.0	0	0.03557	0.6	28.196	18.78	56.6
02/09/09 19:45:07.0	0	0.03557	0.6	28.048	18.92	57.6
02/09/09 19:55:07.0	0	0.03557	0.6	27.949	18.94	58
02/09/09 20:05:07.0	0	0.03514	0.6	27.949	19.08	58.5
02/09/09 20:15:07.0	0	0.03472	0.6	27.751	19.22	59.7
02/09/09 20:25:07.0	0	0.03472	0.6	27.579	19.32	60.7
02/09/09 20:35:07.0	0	0.03472	0.6	27.53	19.46	61.4
02/09/09 20:45:07.0	0	0.03472	0.6	27.481	19.6	62.1
02/09/09 20:55:07.0	0	0.03472	0.6	27.308	19.75	63.3
02/09/09 21:05:07.0	0	0.0343	0.6	27.136	19.79	64.1
02/09/09 21:15:07.0	0	0.0343	0.6	27.063	19.99	65.2
02/09/09 21:25:07.0	0	0.0343	0.6	26.891	20.15	66.5
02/09/09 21:35:07.0	0	0.03387	0.6	26.744	20.37	68
02/09/09 21:45:07.0	0	0.03387	0.6	26.671	20.61	69.3
02/09/09 21:55:07.0	0	0.03387	0.6	26.524	20.7	70.3
02/09/09 22:05:07.0	0	0.03387	0.6	26.524	20.88	71.1
02/09/09 22:15:07.0	0	0.03387	0.6	26.426	20.9	71.6
02/09/09 22:25:07.0	0	0.03387	0.6	26.378	20.97	72.1
02/09/09 22:35:07.0	0	0.03345	0.6	26.28	20.99	72.6
02/09/09 22:45:07.0	0	0.03345	0.6	26.207	21.01	73
02/09/09 22:55:07.0	0	0.03345	0.6	26.158	21.12	73.7
02/09/09 23:05:07.0	0	0.03345	0.6	26.134	21.16	74
02/09/09 23:15:07.0	0	0.03302	0.6	25.987	21.02	74
02/09/09 23:25:07.0	0	0.03302	0.6	26.085	20.8	72.6
02/09/09 23:35:07.0	0	0.03302	0.6	25.987	20.86	73.3
02/09/09 23:45:07.0	0	0.03302	0.6	25.963	21.04	74.2
02/09/09 23:55:07.0	0	0.03302	0.6	25.841	21.14	75.2
02/10/09 00:05:07.0	0	0.0326	0.6	25.793	21.18	75.6
02/10/09 00:15:07.0	0	0.0326	0.6	25.768	21.22	75.9
02/10/09 00:25:07.0	0	0.0326	0.6	25.768	21.24	76
02/10/09 00:35:07.0	0	0.0326	0.6	25.598	21.16	76.4
02/10/09 00:45:07.0	0	0.0326	0.6	25.574	21.2	76.7
02/10/09 00:55:07.0	0	0.0326	0.6	25.574	21.25	76.9
02/10/09 01:05:07.0	0	0.03218	0.6	25.623	21.29	76.9
02/10/09 01:15:07.0	0	0.03218	0.6	25.623	21.27	76.8
02/10/09 01:25:07.0	0	0.03218	0.6	25.647	21.28	76.7
02/10/09 01:35:07.0	0	0.03218	0.6	25.477	21.24	77.3
02/10/09 01:45:07.0	0	0.03218	0.6	25.477	21.28	77.5
02/10/09 01:55:07.0	0	0.03218	0.6	25.428	21.3	77.8
02/10/09 02:05:07.0	0	0.03218	0.6	25.525	21.37	77.7
