bioma;ponto;id;tcmax;classe;ordem;familia;subfamilia;genero;localidade;lat;long;alt;estacao;tempAR;tempSOL;peso
1.0;1;1;34.33;Chilopoda;Geophilomorpha;NA;NA;NA;MataAtlantica;-23.735;-45.98;314;Boraceia;20.1;16;1
1.0;1;2;35;Insecta;Hymenoptera;Formicidae;Myrmicinae;NA;MataAtlantica;-23.735;-45.98;314;Boraceia;20.1;16;1
1.0;1;3;35.67;Insecta;Blattodea;NA;NA;NA;MataAtlantica;-23.735;-45.98;314;Boraceia;20.1;16;3
1.0;1;4;36;Insecta;Hymenoptera;Formicidae;Myrmicinae;NA;MataAtlantica;-23.735;-45.98;314;Boraceia;20.1;16;1
1.0;1;5;35.33;Insecta;Hymenoptera;Formicidae;Myrmicinae;NA;MataAtlantica;-23.735;-45.98;314;Boraceia;20.1;16;1
1.0;1;6;35.33;Insecta;Hymenoptera;Formicidae;Myrmicinae;NA;MataAtlantica;-23.735;-45.98;314;Boraceia;20.1;16;1
1.0;1;7;35.33;Insecta;Blattodea;NA;NA;NA;MataAtlantica;-23.735;-45.98;314;Boraceia;20.1;16;1
1.0;1;8;35.33;Arachnida;Opiliones;Gonyleptidae;NA;NA;MataAtlantica;-23.735;-45.98;314;Boraceia;20.1;16;1
1.0;1;10;42;Arachnida;Araneae;Ctenidae;NA;NA;MataAtlantica;-23.735;-45.98;314;Boraceia;20.1;16;1
1.0;1;11;34.33;Arachnida;Araneae;Zoridae;NA;NA;MataAtlantica;-23.735;-45.98;314;Boraceia;20.1;16;5
1.0;1;12;34.33;Insecta;Coleoptera;NA;NA;NA;MataAtlantica;-23.735;-45.98;314;Boraceia;20.1;16;1
1.0;1;13;35.67;Insecta;Hymenoptera;Formicidae;Myrmicinae;NA;MataAtlantica;-23.735;-45.98;314;Boraceia;20.1;16;1
1.0;1;15;35;Insecta;Orthoptera ;NA;NA;NA;MataAtlantica;-23.735;-45.98;314;Boraceia;20.1;16;5
1.0;1;16;34.67;Insecta;Hymenoptera;Formicidae;Myrmicinae;NA;MataAtlantica;-23.735;-45.98;314;Boraceia;20.1;16;1
1.0;1;17;35;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;-23.735;-45.98;314;Boraceia;20.1;16;1
1.0;1;18;36.33;Insecta;Hymenoptera;Formicidae;Myrmicinae;NA;MataAtlantica;-23.735;-45.98;314;Boraceia;20.1;16;1
