bioma;ponto;id;tcmax;classe;ordem;familia;subfamilia;genero;localidade;mes;hora;periodo;lat;long;alt;estacao;tempAR;tempSOL;peso;temp.conf
1;1;1;34.33;Chilopoda;Geophilomorpha;NA;NA;NA;MataAtlantica;mai/11;10:57:36;MANHA;-23.65512;-45.88915;314;Boraceia;NA;22.00;1;NAO
1;1;2;35.00;Insecta;Hymenoptera;Formicidae;Myrmicinae;NA;MataAtlantica;mai/11;10:57:36;MANHA;-23.65512;-45.88915;314;Boraceia;NA;22.00;1;NAO
1;1;3;35.67;Insecta;Blattodea;NA;NA;NA;MataAtlantica;mai/11;10:57:36;MANHA;-23.65512;-45.88915;314;Boraceia;NA;22.00;3;NAO
1;1;4;36.00;Insecta;Hymenoptera;Formicidae;Myrmicinae;NA;MataAtlantica;mai/11;10:57:36;MANHA;-23.65512;-45.88915;314;Boraceia;NA;22.00;1;NAO
1;1;5;35.33;Insecta;Hymenoptera;Formicidae;Myrmicinae;NA;MataAtlantica;mai/11;10:57:36;MANHA;-23.65512;-45.88915;314;Boraceia;NA;22.00;1;NAO
1;1;6;35.33;Insecta;Hymenoptera;Formicidae;Myrmicinae;NA;MataAtlantica;mai/11;10:57:36;MANHA;-23.65512;-45.88915;314;Boraceia;NA;22.00;1;NAO
1;1;7;35.33;Insecta;Blattodea;NA;NA;NA;MataAtlantica;mai/11;10:57:36;MANHA;-23.65512;-45.88915;314;Boraceia;NA;22.00;1;NAO
1;1;8;35.33;Arachnida;Opiliones;Gonyleptidae;NA;NA;MataAtlantica;mai/11;10:57:36;MANHA;-23.65512;-45.88915;314;Boraceia;NA;22.00;1;NAO
1;1;10;42.00;Arachnida;Araneae;Ctenidae;NA;NA;MataAtlantica;mai/11;10:57:36;MANHA;-23.65512;-45.88915;314;Boraceia;NA;22.00;1;NAO
1;1;11;34.33;Arachnida;Araneae;Zoridae;NA;NA;MataAtlantica;mai/11;10:57:36;MANHA;-23.65512;-45.88915;314;Boraceia;NA;22.00;5;NAO
1;1;12;34.33;Insecta;Coleoptera;NA;NA;NA;MataAtlantica;mai/11;10:57:36;MANHA;-23.65512;-45.88915;314;Boraceia;NA;22.00;1;NAO
1;1;13;35.67;Insecta;Hymenoptera;Formicidae;Myrmicinae;NA;MataAtlantica;mai/11;10:57:36;MANHA;-23.65512;-45.88915;314;Boraceia;NA;22.00;1;NAO
1;1;15;35.00;Insecta;Orthoptera ;NA;NA;NA;MataAtlantica;mai/11;10:57:36;MANHA;-23.65512;-45.88915;314;Boraceia;NA;22.00;5;NAO
1;1;16;34.67;Insecta;Hymenoptera;Formicidae;Myrmicinae;NA;MataAtlantica;mai/11;10:57:36;MANHA;-23.65512;-45.88915;314;Boraceia;NA;22.00;1;NAO
1;1;17;35.00;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;mai/11;10:57:36;MANHA;-23.65512;-45.88915;314;Boraceia;NA;22.00;1;NAO
